"","","","","","","","","","",""
"","Companies on London Stock Exchange","","","","","","","","",""
"","As at 31 December 2018","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)",""
"","06/03/2012","ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED","Financials","Financial Services","Guernsey","Europe","MAIN MARKET ","No","141.86",""
"","04/04/2005","ALEXANDER MINING PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","1.65",""
"","18/10/2018","ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.","","","Egypt","Middle East","ADMISSION TO TRADING ONLY ","Yes","-",""
"","26/05/2017","ALFA FINANCIAL SOFTWARE HOLDINGS PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","346.8",""
"","25/05/2006","ALIEN METALS LIMITED","Basic Materials","Basic Resources","British Virgin Islands","North America","AIM ","Yes","0.97",""
"","02/05/2013","ALL ASIA ASSET CAPITAL LIMITED","Financials","Financial Services","British Virgin Islands","North America","AIM ","Yes","2.66",""
"","11/10/2004","ALLERGY THERAPEUTICS PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","86.68",""
"","17/12/2015","ALLIANCE PHARMA PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","347.13",""
"","17/07/1947","ALLIANCE TRUST PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","2,295.35",""
"","04/12/1995","ALLIANZ TECHNOLOGY TRUST PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","408.42",""
"","25/06/2014","ALLIED MINDS PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","168.7",""
"","11/10/2017","ALPHA FINANCIAL MARKETS CONSULTING PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","AIM ","No","226.58",""
"","07/04/2017","ALPHA FX GROUP PLC","Financials","Financial Services","United Kingdom","Europe","AIM ","No","206.48",""
"","20/12/2017","ALPHA GROWTH PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","2.65",""
"","21/12/2006","ALPHA REAL TRUST LIMITED","Financials","Real Estate","Guernsey","Europe","MAIN MARKET ","No","94.67",""
"","17/09/2015","ALTERNATIVE LIQUIDITY FUND LIMITED","Financials","Financial Services","Guernsey","Europe","MAIN MARKET ","No","14.22",""
"","07/11/2005","ALTITUDE GROUP PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","AIM ","No","39.65",""
"","10/03/2005","ALTONA ENERGY PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","1.52",""
"","10/08/2017","ALTUS STRATEGIES PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","5.55",""
"","19/12/2014","ALTYN PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","14.76",""
"","30/05/1986","ALUMASC GROUP PLC","Industrials","Construction & Materials","United Kingdom","Europe","MAIN MARKET ","No","38.84",""
"","30/11/2010","ALUMINIUM BAHRAIN B.S.C.","Basic Materials","Basic Resources","Bahrain","Middle East","MAIN MARKET ","Yes","-",""
"","22/02/2001","AMATI AIM VCT PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","107.42",""
"","13/05/2015","AMEDEO AIR FOUR PLUS LIMITED","Industrials","Industrial Goods & Services","Guernsey","Europe","MAIN MARKET ","No","677.57",""
"","06/10/2017","AMER GROUP HOLDING COMPANY S.A.E","Financials","Real Estate","Egypt","Middle East","ADMISSION TO TRADING ONLY ","Yes","-",""
"","16/11/2004","AMERISUR RESOURCES PLC","Oil & Gas","Oil & Gas","United Kingdom","Europe","AIM ","No","186.35",""
"","05/12/2005","AMIAD WATER SYSTEMS LTD","Industrials","Industrial Goods & Services","Israel","Middle East","AIM ","Yes","51.22",""
"","29/06/2018","AMIGO HOLDINGS PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","1,335.93",""
"","06/07/1995","AMINEX PLC","Oil & Gas","Oil & Gas","Ireland","Europe","MAIN MARKET ","Yes","51.01",""
"","09/06/2004","AMINO TECHNOLOGIES PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","84.49",""
"","23/08/2005","AMPHION INNOVATIONS PLC","Financials","Financial Services","Isle of Man","Europe","AIM ","No","1.21",""
"","19/04/2016","AMRYT PHARMA PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","48.09",""
"","25/11/2004","AMTEK AUTO LD","Consumer Goods","Automobiles & Parts","India","Asia","MAIN MARKET ","Yes","-",""
"","15/03/2006","AMUR MINERALS CORPORATION","Basic Materials","Basic Resources","British Virgin Islands","North America","AIM ","Yes","27.63",""
"","10/10/1991","ANA HOLDINGS INC.","Consumer Services","Travel & Leisure","Japan","Asia","ADMISSION TO TRADING ONLY ","Yes","-",""
"","16/05/2016","ANDALAS ENERGY AND POWER PLC","Oil & Gas","Oil & Gas","Isle of Man","Europe","AIM ","No","2.65",""
"","24/12/2001","ANDREWS SYKES GROUP PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","AIM ","No","202.86",""
"","20/06/2018","ANEXO GROUP PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","AIM ","No","129.25",""
"","17/03/2004","ANGLE PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","55.96",""
"","06/06/1988","ANGLESEY MINING PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","3.02",""
"","13/07/2017","ANGLING DIRECT PLC","Consumer Services","Retail","United Kingdom","Europe","AIM ","No","54.61",""
"","22/07/2015","ANGLO AFRICAN AGRICULTURE PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","1.75",""
"","06/03/2017","ANGLO AFRICAN OIL & GAS PLC","Oil & Gas","Oil & Gas","United Kingdom","Europe","AIM ","No","20.02",""
"","24/05/1999","ANGLO AMERICAN PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","24,554.89",""
"","29/07/2005","ANGLO ASIAN MINING PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","100.21",""
"","24/04/1985","ANGLO-EASTERN PLANTATIONS PLC","Consumer Goods","Food & Beverage","United Kingdom","Europe","MAIN MARKET ","No","225.13",""
"","30/12/1996","ANGLO PACIFIC GROUP PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","270.39",""
"","14/11/2016","ANGUS ENERGY PLC","Oil & Gas","Oil & Gas","United Kingdom","Europe","AIM ","No","43.02",""
"","15/01/2008","ANIMALCARE GROUP PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","90.09",""
"","28/11/2006","ANPARIO PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","75.27",""
"","05/07/1982","ANTOFAGASTA PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","7,721.23",""
"","27/09/2004","AO MOSENERGO","Utilities","Utilities","Russian Federation","Europe","ADMISSION TO TRADING ONLY ","Yes","-",""
"","18/12/2002","AORTECH INTERNATIONAL PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","7.27",""
"","03/03/2014","AO WORLD PLC","Consumer Services","Retail","United Kingdom","Europe","MAIN MARKET ","No","589.08",""
"","15/06/2015","APAX GLOBAL ALPHA LIMITED","Financials","Financial Services","Guernsey","Europe","MAIN MARKET ","No","662.99",""
"","12/11/2002","APC TECHNOLOGY GROUP PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","AIM ","No","11.92",""
"","19/06/2015","APPLEGREEN PLC","Consumer Services","Retail","Ireland","Europe","AIM ","Yes","612.73",""
"","20/11/2013","APPLIED GRAPHENE MATERIALS PLC","Basic Materials","Chemicals","United Kingdom","Europe","AIM ","No","16.81",""
"","05/09/2017","APPSCATTER GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","18.2",""
"","26/08/2016","APQ GLOBAL LIMITED","Financials","Financial Services","Guernsey","Europe","AIM ","No","62.51",""
"","28/08/2014","AQUILA SERVICES GROUP PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","11.99",""
"","14/06/2018","AQUIS EXCHANGE PLC","Financials","Financial Services","United Kingdom","Europe","AIM ","No","155.43",""
"","21/09/2016","ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.","Consumer Goods","Food & Beverage","Egypt","Middle East","ADMISSION TO TRADING ONLY ","Yes","-",""
"","27/06/2005","ARBUTHNOT BANKING GROUP PLC","Financials","Financial Services","United Kingdom","Europe","AIM ","No","158.57",""
"","15/09/2010","ARC MINERALS LIMITED","Basic Materials","Basic Resources","British Virgin Islands","North America","AIM ","Yes","16.76",""
"","04/12/2000","ARCONTECH GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","18.16",""
"","19/07/2006","ARDEN PARTNERS PLC","Financials","Financial Services","United Kingdom","Europe","AIM ","No","8.78",""
